"행정구역(시군구)별",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"충주시",208447,208115,208527,207913,208350,208316,210504,210737,210186,209358,208277,207778
"제천시",137521,137204,136805,136138,136517,136432,135386,134617,133018,131591,130988,130194
"청원군",154780,155002,-,-,-,-,-,-,-,-,-,-
"보은군",34438,34318,34240,34296,34221,34053,33680,32949,32412,31878,31455,31010
"옥천군",53244,52763,52469,52404,52267,51766,51465,51023,50527,50093,49520,48891
"영동군",50663,50539,50803,50693,50552,50240,49715,48738,47475,45773,44956,44195
"증평군",34279,34546,34771,36671,37308,37783,37317,37392,36807,36426,37262,37484
"진천군",63458,64606,65174,67981,69950,73677,78218,81084,83718,85176,86147,86254
"괴산군",37713,38059,38351,38787,38973,39054,39133,39163,39393,38122,37055,36590
"음성군",92980,93505,95324,96396,97787,97306,95830,94982,93153,92197,92058,91183
"단양군",31253,31171,30948,30761,30503,30215,30255,29756,29155,28331,27767,27701
"충청남도",2028777,2047631,2062273,2077649,2096727,2116770,2126282,2123709,2121029,2119257,2123037,2130119
"천안시",581988,591089,598346,605776,617955,631531,646075,652258,658808,658486,657559,655959
"동남구",257908,260575,261768,261474,258919,255878,257978,259411,258009,255292,255647,256691
"서북구",324080,330514,336578,344302,359036,375653,388097,392847,400799,403194,401912,399268
"공주시",117298,116369,113621,111261,109931,108432,107581,106474,104545,103145,102571,102104
"보령시",105559,104938,104321,104754,103873,103198,101990,101114,100229,98408,97157,95772
"아산시",280490,287073,293954,297737,302929,311453,312822,314395,316129,324580,334539,345796
"서산시",163315,165837,167611,170099,170788,171678,174162,174690,175591,176645,176413,176011
"논산시",126653,125844,124784,124232,123213,122240,120230,118842,116675,114483,112617,110423
"계룡시",41550,40957,40552,41730,42634,43967,43731,42971,42822,43331,44475,46667
"당진시",155104,159615,162844,165122,166630,167439,167770,167042,166249,167092,168253,170302
"금산군",55715,55441,55166,54879,54612,53894,53222,52257,51413,50477,50092,50093
"부여군",73259,72547,71754,71143,70187,69086,68078,66740,65354,63774,62343,61046
"서천군",58920,58441,57713,56910,56012,55175,53922,52805,51866,50745,49964,49116
"청양군",32087,32155,32248,32485,32753,32837,32296,31717,30948,30440,30266,30168
"홍성군",88415,89704,91866,94553,99971,101570,101082,100423,100102,99324,98068,97524
"예산군",85876,85205,84919,83484,81339,80338,80083,79238,78084,76801,77385,78354
"태안군",62548,62416,62574,63484,63900,63932,63238,62743,62214,61526,61335,60784
"전북특별자치도",1873341,1872965,1871560,1869711,1864791,1854607,1836832,1818917,1804104,1786855,1769607,1754757
